source,target,weight,distance
927,2576,36,15007.71241
928,2138,61,10981.11194
928,2341,48,21366.01708
928,2451,34,21986.78361
928,2561,64,22634.57755
928,2686,63,16096.99248
928,2356,56,13130.49553
928,2465,112,14293.45456
928,7535,25,60301.0656
928,2027,56,10032.6702
928,2450,40,22766.41566
928,7536,28,60424.56642
930,2437,35,35790.51312
931,2028,32,10422.21939
932,1821,17,12019.86252
933,482,12,11684.65968
933,4013,14,27950.48592
933,3694,11,27263.13748
933,5667,11,43108.38496
1021,378,14,17998.34196
1021,818,33,17089.3141
1021,2561,14,13978.33847
1021,2005,15,10800.23349
1025,705,21,10423.2218
1027,487,24,11161.81992
1029,599,38,10752.2718
1029,600,21,11685.01611
1029,601,11,12627.77433
1029,1596,12,17689.70309
1029,2341,14,14399.32216
1029,2451,23,15240.11844
1029,2465,27,14294.10536
1029,3894,22,26432.68357
1029,2450,22,15786.37903
1029,2576,14,15626.47055
1030,379,38,10798.46385
1030,489,25,10278.31637
1030,600,29,10752.16288
1030,1150,22,10032.92421
1030,5331,12,40453.04687
1030,2465,22,13905.24773
1031,2005,16,18328.79096
1031,2468,13,14739.99461
1037,2466,14,13016.21579
1037,2465,14,13130.62924
1037,1244,13,13131.3561
1037,4125,16,29069.54199
1037,3888,11,27467.92103
1037,4236,73,30311.22451
1037,4237,23,30621.79085
1039,2138,27,10032.56776
1039,2465,31,13578.2539
1039,7535,29,59200.04105
1039,2450,23,22984.16532
1039,7536,27,59309.04483
1039,8968,51,72431.63178
1040,2138,75,10180.42387
1040,2686,58,15497.51812
1041,3235,61,20844.75866
1042,1821,12,11381.17696
1044,374,17,11641.75858
1044,485,17,10277.79265
1044,594,15,10751.72459
1044,1932,12,11293.11343
1044,2687,12,16524.09844
1044,1916,11,11294.04971
1044,7535,11,58903.21387
1045,486,15,10277.68715
1128,263,12,16972.93962
1128,818,11,20191.0514
1128,1477,14,19204.38165
1129,818,12,19204.18997
1129,1478,18,19204.19019
1129,2246,12,19691.29617
1129,2341,11,11163.15025
1129,2451,25,12146.82074
1129,2561,15,13132.72399
1129,2223,12,11644.42626
1129,2450,14,12023.13955
1129,3235,12,24799.57671
1130,920,12,10181.85775
1130,1030,17,10033.92945
1130,1250,12,10033.92949
1131,818,11,17234.51057
1132,816,13,14294.53282
1132,1144,11,11980.60204
1132,2451,11,12022.90425
1133,818,49,15271.94772
1133,927,26,14118.99188
1133,2326,23,20218.39832
1133,2341,80,11162.93151
1133,2451,74,12146.58272
1133,2454,22,12022.66777
1133,2561,36,13132.46665
1133,2568,36,13906.22063
1133,5218,11,39859.3938
1133,2450,38,12350.11777
1133,4011,12,31570.38895
1134,705,19,11685.6044
1134,816,16,12349.075
1134,818,20,14294.24639
1134,927,11,13131.35605
1134,2341,24,11383.94512
1134,2451,11,12349.99647
1134,2546,28,22170.5349
1134,1699,15,15785.27488
1134,3235,26,21918.6819
1134,2247,12,16374.29745
1135,485,13,11642.82002
1135,486,28,12509.39683
1135,487,11,13394.31802
1135,489,12,15206.31406
1135,705,20,10752.70487
1135,818,15,13319.63009
1136,818,16,12348.82694
1136,5641,17,41238.83313
1136,1807,13,12509.27148
1137,488,11,12509.14525
1137,489,13,13394.04831
1137,818,25,11382.81003
1137,1478,14,11382.81016
1137,2028,11,13578.8717
1138,379,19,13016.60978
1138,487,14,10798.68213
1138,818,15,10422.9074
1138,1381,11,23046.78408
1139,488,77,10798.57315
1139,599,71,11161.59466
1139,1378,25,19072.06343
1139,2451,37,14399.32221
1139,2450,45,14976.27415
1139,1381,11,22052.32741
1140,599,29,10278.31641
1140,2028,23,11294.74036
1140,2451,15,14976.12595
1140,2465,14,12978.4019
1140,2450,13,15595.71462
1140,3235,25,19614.24177
1143,2686,15,14293.74495
1143,2465,32,12145.12963
1144,2686,12,14118.28346
1144,2465,28,12021.34611
1144,2355,21,11026.78774
1144,7536,17,59125.45643
1145,7536,13,58931.01011
1146,2355,14,11026.6759
1146,7536,19,58752.88703
1146,5657,12,40942.40009
1147,2465,16,12144.88329
1147,4016,11,27465.402
1149,2372,11,16998.8283
1149,2465,29,12627.51966
1149,1244,26,15008.46791
1149,7536,14,58317.87926
1149,8968,25,71441.22122
1149,2245,23,10751.94552
1150,1683,29,17690.77831
1150,2561,37,22983.93513
1150,2686,39,14535.21844
1150,2809,46,17461.64903
1150,2356,53,11684.60172
1150,2465,82,12977.74379
1150,3894,33,25666.03564
1150,7203,32,54985.20658
1150,2355,42,12062.35958
1150,7535,34,58112.47511
1150,2579,40,13015.81695
1151,2356,19,12062.23636
1151,8414,15,65951.65905
1153,7203,14,54902.7431
1154,482,11,13393.3683
1154,2687,13,15625.19821
1154,8414,16,65882.6109
1155,372,14,14739.39217
1155,486,28,10797.80283
1155,596,11,10277.68719
1155,705,11,10751.6144
1155,1251,11,14011.5653
1155,2686,13,16614.31206
1156,485,37,12508.12667
1156,486,28,11641.51963
1156,487,25,10797.69173
1156,597,31,10277.58144
1156,2809,12,15269.29327
1158,482,14,17058.31149
1238,4668,14,36832.09067
1239,488,13,20215.61965
1239,2341,14,10182.35969
1239,2810,11,33957.47252
1239,2449,15,10983.19492
1239,2563,19,12629.53912
1239,2340,16,10034.47311
1239,1359,12,10034.0287
1240,599,14,19892.34777
1240,818,16,18409.09497
1240,1362,21,12022.36857
1240,1799,12,10279.34522
1240,2246,12,18327.88309
1240,2341,23,10034.37505
1240,2451,15,11028.32506
1240,1361,19,11027.78056
1240,2450,19,10983.08772
1240,2563,11,12350.11782
1240,5442,15,43836.68998
1241,599,11,18942.61282
1241,818,20,17435.75441
1241,2561,12,11981.43302
1243,482,14,11383.38068
1243,489,17,17435.4927
1243,596,19,14294.46171
1243,598,19,16128.9744
1243,599,29,17059.87055
1243,818,49,15498.69108
1243,2341,51,10182.16016
1243,2451,37,11162.93155
1243,2560,13,12350.11782
1243,2561,21,12146.58276
1243,1699,11,16465.26656
1243,3579,12,33364.81998
1243,8197,20,67302.87662
1243,2450,43,11384.05697
1243,5653,12,41164.41123
1243,6670,16,61292.61416
1244,488,55,15626.70356
1244,489,54,16525.60689
1244,596,52,13394.45244
1244,598,48,15206.46703
1244,599,96,16128.81241
1244,710,76,16735.28448
1244,818,216,14536.24601
1244,927,44,13319.76392
1244,1375,19,20988.43383
1244,2341,77,10423.99914
1244,2451,146,11383.94516
1244,2452,55,11162.82177
1244,2561,66,12349.99651
1244,3906,15,32502.71421
1244,2450,141,11686.47498
1245,379,19,16097.80407
1245,489,24,15626.54642
1245,599,15,15206.31412
1245,818,29,13579.00749
1245,1040,16,15107.6011
1245,2451,26,11686.36005
1245,2998,20,17437.14143
1245,7196,12,55018.53042
1246,152,14,11642.93724
1246,486,16,12186.45834
1246,489,19,14740.29025
1246,599,20,14294.03101
1246,818,47,12628.15725
1246,928,17,12348.82699
1246,1039,23,13131.09201
1246,2341,15,11162.76652
1246,2451,23,12064.05374
1246,2356,19,14118.852
1247,487,25,12186.33579
1247,599,31,13394.04836
1247,600,28,14293.88674
1247,818,56,11685.25236
1247,2459,28,11162.26876
1248,2561,20,13870.47049
1250,2561,40,14976.126
1250,5442,11,39782.09926
1250,5797,12,55125.91431
1251,710,34,10278.21221
1251,1598,12,17232.76515
1251,6773,11,54529.94163
1253,1267,22,13975.6715
1254,1683,11,11685.72142
1254,2465,16,11026.78778
1254,7207,12,55445.97899
1254,2459,17,12063.09277
1256,2371,11,17995.77923
1258,8968,14,70585.63465
1258,7318,11,55802.84264
1259,2568,12,16251.60953
1259,7203,13,54053.30949
1259,7535,15,57214.15825
1260,2546,33,35998.97625
1260,2465,13,12062.35963
1260,5033,11,47290.88569
1261,2356,14,11161.08495
1261,7203,16,53942.02719
1263,8414,15,64892.40383
1265,267,16,12020.54716
1265,378,24,10611.51102
1265,482,16,14739.39223
1265,485,14,12185.3447
1265,487,39,10611.5655
1265,8414,66,64891.73137
1266,378,27,11293.81703
1266,379,27,10611.40157
1266,486,14,12185.21947
1266,488,37,10611.45619
1266,706,11,11160.79753
1266,1364,11,12020.66996
1267,378,21,12020.36112
1267,379,24,11293.70041
1267,487,14,12185.09394
1267,488,12,11381.64908
1267,597,13,11641.39975
1268,376,22,14396.84718
1268,378,68,12783.60038
1268,379,52,12020.23685
1268,482,38,17433.89939
1268,486,24,13868.01755
1268,487,45,13015.41313
1268,489,59,11381.53141
1268,592,33,17058.31156
1268,593,16,16127.33672
1268,599,38,10797.46877
1268,817,21,11684.06013
1268,818,40,10751.28217
1268,4678,71,30943.57233
1268,7219,11,55005.4811
1268,7987,12,61545.20843
1268,8420,13,64911.71342
